"list_name","name","label","label..Arabic","Governorate"
"Governorate_MCNA","Anbar","Anbar","الأنبار",""
"Governorate_MCNA","Babylon","Babylon","بابل",""
"Governorate_MCNA","Baghdad","Baghdad","بغداد",""
"Governorate_MCNA","Basrah","Basrah","البصرة",""
"Governorate_MCNA","Dahuk","Dahuk","دهوك",""
"Governorate_MCNA","Diyala","Diyala","ديالى",""
"Governorate_MCNA","Erbil","Erbil","اربيل",""
"Governorate_MCNA","Kerbala","Kerbala","كربلاء",""
"Governorate_MCNA","Missan","Missan","ميسان",""
"Governorate_MCNA","Muthanna","Muthanna","المثنى",""
"Governorate_MCNA","Najaf","Najaf","النجف",""
"Governorate_MCNA","Ninewa","Ninewa","نينوى",""
"Governorate_MCNA","Qadissiya","Qadissiya","القادسية",""
"Governorate_MCNA","Sulaymaniyah","Sulaymaniyah","السليمانية",""
"Governorate_MCNA","Thi_Qar","Thi-Qar","ذي قار",""
"Governorate_MCNA","Wassit","Wassit","واسط",""
"Governorate_MCNA","Kirkuk","Kirkuk","كركوك",""
"Governorate_MCNA","Salah_al_Din","Salah al-Din","صلاح الدين",""
"","","","",""
"District_MCNA","Ana","Ana","عانه","Anbar"
"District_MCNA","Falluja","Falluja","الفلوجة","Anbar"
"District_MCNA","Haditha","Haditha","حديثة","Anbar"
"District_MCNA","Heet","Heet","هيت","Anbar"
"District_MCNA","Kaim","Ka'im","القائم","Anbar"
"District_MCNA","Ramadi","Ramadi","الرمادي","Anbar"
"District_MCNA","Rutba","Rutba","الرطبة","Anbar"
"District_MCNA","Ruua","Ru'ua","راوة","Anbar"
"District_MCNA","Hashimiya","Hashimiya","الهاشمية","Babylon"
"District_MCNA","Hilla","Hilla","الحلة","Babylon"
"District_MCNA","Mahawil","Mahawil","المحاويل","Babylon"
"District_MCNA","Musayab","Musayab","المسيب","Babylon"
"District_MCNA","Abu_Ghraib","Abu Ghraib","أبو غريب","Baghdad"
"District_MCNA","Adhamia","Adhamia","الاعظمية","Baghdad"
"District_MCNA","Kadhimia","Kadhimia","الكاظمية","Baghdad"
"District_MCNA","Karkh","Karkh","الكرخ","Baghdad"
"District_MCNA","Madain","Mada'in","المدائن","Baghdad"
"District_MCNA","Mahmoudiya","Mahmoudiya","المحمودية","Baghdad"
"District_MCNA","Resafa","Resafa","الرصافة","Baghdad"
"District_MCNA","Tarmia","Tarmia","الطارمية","Baghdad"
"District_MCNA","Thawra1","Thawra1","الثورة 1","Baghdad"
"District_MCNA","Thawra2","Thawra2","الثورة 2","Baghdad"
"District_MCNA","Abu_Al_Khaseeb","Abu Al-Khaseeb","ابي الخصيب","Basrah"
"District_MCNA","Basrah","Basrah","البصرة","Basrah"
"District_MCNA","Fao","Fao","الفاو","Basrah"
"District_MCNA","Midaina","Midaina","المدينة","Basrah"
"District_MCNA","Qurna","Qurna","القرنة","Basrah"
"District_MCNA","Shatt_Al_Arab","Shatt Al-Arab","شط العرب","Basrah"
"District_MCNA","Zubair","Zubair","الزبير","Basrah"
"District_MCNA","Amedi","Amedi","العمادية","Dahuk"
"District_MCNA","Dahuk","Dahuk","دهوك","Dahuk"
"District_MCNA","Sumel","Sumel","سميل","Dahuk"
"District_MCNA","Zakho","Zakho","زاخو","Dahuk"
"District_MCNA","Baladrooz","Baladrooz","بلدروز","Diyala"
"District_MCNA","Baquba","Ba'quba","بعقوبة","Diyala"
"District_MCNA","Khalis","Khalis","الخالص","Diyala"
"District_MCNA","Khanaqin","Khanaqin","خانقين","Diyala"
"District_MCNA","Kifri","Kifri","كفري","Diyala"
"District_MCNA","Muqdadiya","Muqdadiya","المقدادية","Diyala"
"District_MCNA","Choman","Choman","جومان","Erbil"
"District_MCNA","Erbil","Erbil","اربيل","Erbil"
"District_MCNA","Koisnjaq","Koisnjaq","كويسنجق","Erbil"
"District_MCNA","Makhmur","Makhmur","مخمور","Erbil"
"District_MCNA","Mergasur","Mergasur","ميركاصور","Erbil"
"District_MCNA","Shaqlawa","Shaqlawa","شقلاوة","Erbil"
"District_MCNA","Soran","Soran","سوران","Erbil"
"District_MCNA","Ain_Al_Tamur","Ain Al-Tamur","عين تمر","Kerbala"
"District_MCNA","Hindiya","Hindiya","الهندية","Kerbala"
"District_MCNA","Kerbala","Kerbala","كربلاء","Kerbala"
"District_MCNA","Dabes","Dabes","دبس","Kirkuk"
"District_MCNA","Daquq","Daquq","داقوق","Kirkuk"
"District_MCNA","Hawiga","Hawiga","الحويجة","Kirkuk"
"District_MCNA","Kirkuk","Kirkuk","كركوك","Kirkuk"
"District_MCNA","Ali_Al_Gharbi","Ali Al-Gharbi","علي الغربي","Missan"
"District_MCNA","Amara","Amara","العمارة","Missan"
"District_MCNA","Kahla","Kahla","الكحلاء","Missan"
"District_MCNA","Maimouna","Maimouna","الميمونة","Missan"
"District_MCNA","Mejar_Al_Kabi","Mejar Al-Kabi","المجر الكبير","Missan"
"District_MCNA","Qalat_Saleh","Qal'at Saleh","قلعة صالح","Missan"
"District_MCNA","Khidhir","Khidhir","الخضر","Muthanna"
"District_MCNA","Rumaitha","Rumaitha","الرميثة","Muthanna"
"District_MCNA","Salman","Salman","السلمان","Muthanna"
"District_MCNA","Samawa","Samawa","السماوة","Muthanna"
"District_MCNA","Kufa","Kufa","الكوفة","Najaf"
"District_MCNA","Manathera","Manathera","المناذرة","Najaf"
"District_MCNA","Najaf","Najaf","النجف","Najaf"
"District_MCNA","Akre","Akre","عقرة","Ninewa"
"District_MCNA","Baaj","Ba'aj","البعاج","Ninewa"
"District_MCNA","Hamdaniya","Hamdaniya","الحمدانية","Ninewa"
"District_MCNA","Hatra","Hatra","الحضر","Ninewa"
"District_MCNA","Mosul","Mosul","الموصل","Ninewa"
"District_MCNA","Shikhan","Shikhan","الشيخان","Ninewa"
"District_MCNA","Sinjar","Sinjar","سنجار","Ninewa"
"District_MCNA","Telafar","Telafar","تلعفر","Ninewa"
"District_MCNA","Tilkaif","Tilkaif","تلكيف","Ninewa"
"District_MCNA","Afaq","Afaq","عفك","Qadissiya"
"District_MCNA","Diwaniya","Diwaniya","الديوانية","Qadissiya"
"District_MCNA","Hamza","Hamza","الحمزة","Qadissiya"
"District_MCNA","Shamiya","Shamiya","الشامية","Qadissiya"
"District_MCNA","Baiji","Baiji","بيجي","Salah_al_Din"
"District_MCNA","Balad","Balad","بلد","Salah_al_Din"
"District_MCNA","Daur","Daur","الدور","Salah_al_Din"
"District_MCNA","Fares","Fares","الفارس","Salah_al_Din"
"District_MCNA","Samarra","Samarra","سامراء","Salah_al_Din"
"District_MCNA","Shirqat","Shirqat","الشرقاط","Salah_al_Din"
"District_MCNA","Thethar","Thethar"," الثرثار","Salah_al_Din"
"District_MCNA","Tikrit","Tikrit","تكريت","Salah_al_Din"
"District_MCNA","Tooz","Tooz","طوز خورماتو","Salah_al_Din"
"District_MCNA","Chamchamal","Chamchamal","جمجمال","Sulaymaniyah"
"District_MCNA","Darbandihkan","Darbandihkan","دربندخان","Sulaymaniyah"
"District_MCNA","Dokan","Dokan","دوكان","Sulaymaniyah"
"District_MCNA","Halabja","Halabja","حلبجة","Sulaymaniyah"
"District_MCNA","Kalar","Kalar","كلار","Sulaymaniyah"
"District_MCNA","Penjwin","Penjwin","بنجوين","Sulaymaniyah"
"District_MCNA","Pshdar","Pshdar","بشدر","Sulaymaniyah"
"District_MCNA","Rania","Rania","رانية","Sulaymaniyah"
"District_MCNA","Sharbazher","Sharbazher","شهربازار","Sulaymaniyah"
"District_MCNA","Sulaymaniya","Sulaymaniya","السليمانية","Sulaymaniyah"
"District_MCNA","Chibayish","Chibayish","الجبايش","Thi_Qar"
"District_MCNA","Nassriya","Nassriya","الناصرية","Thi_Qar"
