"type","name","label","label..Arabic","relevant","constraint","required","repeat_count","constraint_message","constraint_message..Arabic","read_only","appearance","choice_filter","default","calculation","hint","hint..Arabic"
"start","start","","","","","","","","",NA,"","",NA,"","",""
"end","end","","","","","","","","",NA,"","",NA,"","",""
"today","date_assessment","","","","","","","","",NA,"","",NA,"","",""
"deviceid","deviceid","","","","","","","","",NA,"","",NA,"","",""
"select_one ngo","ngo","Please select the name of your organization","اسم المنظمة التي تجري الاستبيان","","","yes","","","",NA,"","",NA,"","",""
"text","ngo_other","If other, please specify","اذا اخرى، الرجاء التحديد","selected(${ngo},'other')","","yes","","","",NA,"","",NA,"","",""
"integer","enumerator_num","Please record your enumerator number","رقم العامل","","","yes","","","",NA,"","",NA,"","",""
"select_one Governorate_MCNA","Governorate_MCNA","Current Governorate","المحافظة الحالية","","","yes","","","",NA,"","",NA,"","",""
"select_one District_MCNA","District_MCNA","Current District","القضاء الحالي","","","yes","","","",NA,"","Governorate=${Governorate_MCNA}",NA,"","",""
"text","subdistrict_MCNA","Current Sub-district","الناحية الحالية","","","yes","","","",NA,"","",NA,"","",""
"select_one Yes_No","hhh","Are you the head of household? ","هل انت رب الاسرة؟","","","yes","","","",NA,"","",NA,"","",""
"select_one Yes_No","will_to_response","If no, are you willing and able to respond to the questions on behalf of the household?","اذا كلا, هل انت قادر و مستعد للاجابة على الاسئلة بالنيابة عنه؟","selected(${hhh}, 'no')",".='yes'","yes","","","",NA,"","",NA,"","اذا كلا، الرجاء انهاء المقابلة  والانتقال الى اسرة اخرى","اذا كلا، الرجاء انهاء المقابلة  والانتقال الى اسرة اخرى"
"integer","age_respondent","What is your age? ","عمر المجيب","",".> 17 and .< 120","yes","","Age cannot be below 18 and above 120","",NA,"","",NA,"","",""
"select_one Sex","gender_respondent","Respondent's sex","جنس المجيب ","","","yes","","","",NA,"","",NA,"","",""
"select_one Yes_No","consent","Hello, my name is __. We are conducting interviews in order to inform the humanitarian response in Iraq. This interview will take around 45 minutes,  and your answers will remain confidential and you are free to withdraw at any moment during the survey. Do you agree to participate?","مرحبا , انا اسمي __. نحن نجري المقابلات من أجل الابلاغ والحصول على الاستجابة الإنسانية في العراق. وهذه المقابلة تستغرق حوالي 45 دقيقة. وستبقى إجاباتك سرية. لك الحق في التوقف عن الاجابة في اي لحظة من الاستبيان. هل توافق على المشاركة؟","",".='yes'","yes","","","",NA,"","",NA,"","اذا كلا، الرجاء انهاء المقابلة  والانتقال الى اسرة اخرى","اذا كلا، الرجاء انهاء المقابلة  والانتقال الى اسرة اخرى"
"begin group","Household_Profile","Household Profile","تصنيفات الاسرة ","","","","","","",NA,"","",NA,"","",""
"select_one Yes_No","Displace_Status","Was your household living in this subdistrict prior to January 2014?","هل كانت اسرتك تعيش في هذه الناحية قبل كانون الثاني 2014؟","","","yes","","","",NA,"","",NA,"","",""
"select_one Yes_No","Displace_Status_returnee","Have you been displaced from this sub-district since January 2014?","هل كنت نازحاً من هذه الناحية منذ كانون الثاني 2014؟","selected(${Displace_Status}, 'yes')","","yes","","","",NA,"","",NA,"","",""
"note","note_returnee","This household is a returnee household.","هذه الاسرة عائدة","selected(${Displace_Status_returnee}, 'yes')","","","","","",NA,"","",NA,"","",""
"note","note_nondisplaced","This household is non-displaced.","هذه الاسرة باقية ( لم تنزح ابداً)","selected(${Displace_Status_returnee}, 'no')","","","","","",NA,"","",NA,"","",""
"select_one Yes_No","Displace_Status_idp","Did you move to this subdistrict because of the conflict?","هل انتقلت الى هذه الناحية بسبب الصراع؟","selected(${Displace_Status}, 'no')","","yes","","","",NA,"","",NA,"","",""
"note","note_IDP","This household is an IDP household.","هذه الاسرة هي اسرة نازحة","selected(${Displace_Status_idp}, 'yes')","","","","","",NA,"","",NA,"","",""
"note","note_inelegible","This household is not eligible for the MCNA - please end the survey and find an eligible household in the targeted category. Please cancel this form and move to the next household.","هذه الاسرة غير مؤهلة للاستبيان. الرجاء انهاء الاستبيان والبحث عن اسرة اخرى ضمن الشروط المطلوبة","selected(${Displace_Status_idp}, 'no')","","","","","",NA,"","",NA,"","",""
"calculate","calc_idp","","","","","","","","",NA,"","",NA,"if(selected(${Displace_Status_idp}, 'yes'), 1,0)","",""
"calculate","calc_returnee","","","","","","","","",NA,"","",NA,"if(selected(${Displace_Status_returnee}, 'yes'), 1,0)","",""
"calculate","calc_remainee","","","","","","","","",NA,"","",NA,"if(selected(${Displace_Status_returnee}, 'no'), 1,0)","",""
"calculate","calc_noteligible","","","","","","","","",NA,"","",NA,"if(selected(${Displace_Status_idp}, 'no'), 1,0)","",""
