"dependent.var","independent.var","dependent.var.value","independent.var.value","numbers","se","min","max","repeat.var","repeat.var.value"
"c13","population_group",1,"idp",0.606462611916377,NA,0.579333867947464,0.63359135588529,"all","all"
"c13","population_group",1,"idp_camp",0.789479800364062,NA,0.768336955745277,0.810622644982847,"all","all"
"c13","population_group",1,"returnee",0.715148999648262,NA,0.687241079535804,0.743056919760721,"all","all"
"c14","population_group",NA,"idp",1.57321545838306,NA,1.54449090375351,1.6019400130126,"all","all"
"c14","population_group",NA,"returnee",1.59628193281508,NA,1.56214449818524,1.63041936744493,"all","all"
"c14","population_group",NA,"idp_camp",1.70328645342669,NA,1.68114048351008,1.72543242334329,"all","all"
"c15","population_group",1,"idp",0.0227262381036789,NA,0.0166586211305778,0.02879385507678,"all","all"
"c15","population_group",1,"idp_camp",0.00281322525440915,NA,0.00112987197623113,0.00449657853258717,"all","all"
"c15","population_group",1,"returnee",0.0173233771061183,NA,0.0122228801690698,0.0224238740431668,"all","all"
"c16","population_group",1,"idp",0.775682375782498,NA,0.75601336521456,0.795351386350436,"all","all"
"c16","population_group",1,"idp_camp",0.707092878801738,NA,0.688400480858055,0.725785276745421,"all","all"
"c16","population_group",1,"returnee",0.756380509363109,NA,0.733646394600408,0.779114624125811,"all","all"
"c17","population_group",1,"idp",0.411276055706418,NA,0.388222032928396,0.434330078484441,"all","all"
"c17","population_group",1,"idp_camp",0.773766357756652,NA,0.756595269075077,0.790937446438227,"all","all"
"c17","population_group",1,"returnee",0.53980975330524,NA,0.511916320899922,0.567703185710558,"all","all"
"c18","population_group",1,"idp",0.164496953129986,NA,0.145338741113525,0.183655165146447,"all","all"
"c18","population_group",1,"idp_camp",0.0429208706778323,NA,0.0348709112436895,0.0509708301119751,"all","all"
"c18","population_group",1,"returnee",0.166127817261124,NA,0.142146538583475,0.190109095938774,"all","all"
"c21","population_group",1,"idp",0.293805063110464,NA,0.271887175684228,0.315722950536701,"all","all"
"c21","population_group",1,"idp_camp",0.247136919263199,NA,0.229678730743415,0.264595107782983,"all","all"
"c21","population_group",1,"returnee",0.35699458853235,NA,0.329772967118371,0.384216209946329,"all","all"
"c22","population_group",1,"idp",0.168910751225079,NA,0.144325357659691,0.193496144790466,"all","all"
"c22","population_group",1,"idp_camp",0.131173010494393,NA,0.112541616339381,0.149804404649405,"all","all"
"c22","population_group",1,"returnee",0.0943212603642976,NA,0.0751943994706085,0.113448121257987,"all","all"
"c25","population_group",1,"idp",0.493716100991197,NA,0.354419757478374,0.63301244450402,"all","all"
"c25","population_group",1,"idp_camp",0.894754564949322,NA,0.838101888938598,0.951407240960046,"all","all"
"c25","population_group",1,"returnee",0.830311271748416,NA,0.725958753424895,0.934663790071937,"all","all"
"c26","population_group",1,"idp",0.0127487598203877,NA,0.00795597362033751,0.0175415460204379,"all","all"
"c26","population_group",1,"idp_camp",0.214652539622201,NA,0.199027398242183,0.230277681002219,"all","all"
"c26","population_group",1,"returnee",0.00740510275399231,NA,0.00237742268151377,0.0124327828264709,"all","all"
"c27","population_group",1,"idp",0.609634692344655,NA,0.583445865898794,0.635823518790515,"all","all"
"c27","population_group",1,"idp_camp",0.599497996284062,NA,0.57280091137073,0.626195081197395,"all","all"
"c27","population_group",1,"returnee",0.610801351742174,NA,0.579251829363166,0.642350874121181,"all","all"
"c28","population_group",1,"idp",0.451878736136754,NA,0.428104515934778,0.475652956338731,"all","all"
"c28","population_group",1,"returnee",0.0716459816063685,NA,0.0558499048125132,0.0874420584002238,"all","all"
"c29","population_group",1,"idp",0.487992403337838,NA,0.464407616306882,0.511577190368794,"all","all"
"c29","population_group",1,"idp_camp",0.431341405678296,NA,0.41039084547319,0.452291965883401,"all","all"
"c29","population_group",1,"returnee",0.607349623506624,NA,0.580935861650209,0.633763385363039,"all","all"
"c30","population_group",1,"idp",0.641119195952551,NA,0.618104576143286,0.664133815761816,"all","all"
"c30","population_group",1,"idp_camp",0.654621789613537,NA,0.635396535524669,0.673847043702405,"all","all"
"c30","population_group",1,"returnee",0.660665010130207,NA,0.634958797827992,0.686371222432422,"all","all"
"c32","population_group",1,"idp",0.0669238445994565,NA,0.0547236776669703,0.0791240115319427,"all","all"
"c32","population_group",1,"returnee",0.0382231311804104,NA,0.0260444300372091,0.0504018323236116,"all","all"
"c37","population_group",1,"idp",0.108329172109907,NA,0.0962787173294586,0.120379626890356,"all","all"
"c37","population_group",1,"idp_camp",0.921166255831698,NA,0.911101821230267,0.931230690433129,"all","all"
"c37","population_group",1,"returnee",0.0457090163363796,NA,0.0337492459625129,0.0576687867102463,"all","all"
"c39","population_group",1,"idp",0.715385220986666,NA,0.666400895122181,0.764369546851152,"all","all"
"c39","population_group",1,"idp_camp",0.790997770439237,NA,0.773547416366404,0.80844812451207,"all","all"
"c39","population_group",1,"returnee",0.86905015814978,NA,0.799867818424943,0.938232497874618,"all","all"
"c40_i","population_group",1,"idp",0.0557398690409635,NA,0.0305432809195503,0.0809364571623767,"all","all"
"c40_i","population_group",1,"idp_camp",0.0154750502452402,NA,0.0109716863950981,0.0199784140953824,"all","all"
"c40_i","population_group",1,"returnee",0.0487602449128395,NA,0.00685440387835692,0.0906660859473221,"all","all"
"c40_ii","population_group",1,"idp",0.183175109817025,NA,0.14137087014553,0.22497934948852,"all","all"
"c40_ii","population_group",1,"idp_camp",0.17478861818865,NA,0.158139569432192,0.191437666945109,"all","all"
"c40_ii","population_group",1,"returnee",0.0684437959556856,NA,0.0152798458196504,0.121607746091721,"all","all"
"c40_iii","population_group",1,"idp",0.0265592247065934,NA,0.00856201709904261,0.0445564323141442,"all","all"
"c40_iii","population_group",1,"idp_camp",0.0137114154887288,NA,0.00933117937756459,0.0180916515998929,"all","all"
"c40_iii","population_group",1,"returnee",0.011760293778483,NA,-0.0017699565563314,0.0252905441132973,"all","all"
"c40_iv","population_group",1,"idp",0.00454305686086231,NA,-0.00175540250359762,0.0108415162253222,"all","all"
"c40_iv","population_group",1,"idp_camp",0,NA,0,0,"all","all"
"c40_iv","population_group",1,"returnee",0,NA,0,0,"all","all"
"t6","population_group",1,"idp",0.790451797980362,NA,0.772541494791014,0.80836210116971,"all","all"
"t6","population_group",1,"idp_camp",0.740062093132674,NA,0.72225464502424,0.757869541241108,"all","all"
"t6","population_group",1,"returnee",0.778225494942676,NA,0.756075871930285,0.800375117955067,"all","all"
"t8","population_group",1,"idp",0.123128712105339,NA,0.108525580447503,0.137731843763176,"all","all"
"t8","population_group",1,"idp_camp",0.239750417031294,NA,0.221803670584166,0.257697163478422,"all","all"
"t8","population_group",1,"returnee",0.133997154026202,NA,0.116031728081232,0.151962579971172,"all","all"
